id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
1	13c nmr	-0.1481	0.6985	1	276	434	25	2016.84
2	1h nmr	-0.0482	0.6549	1	522	1052	66	2016.5909
3	21st century	-0.3307	-0.6186	2	201	233	11	2012.4545
4	300c	-0.2477	0.5287	1	206	307	22	2014.1364
5	aas	-0.0707	0.6876	1	194	262	17	2016.1765
6	abe fermentation	-0.6117	-0.0834	4	133	170	14	2017.0714
7	acceleration	0.856	-0.1188	3	214	295	20	2016.05
8	access	-0.2618	-0.5851	2	534	943	62	2015.2742
9	accessibility	-0.224	0.582	1	324	509	34	2016.7647
10	accession	-0.5819	-0.2294	2	246	501	48	2013.6875
11	accumulation	-0.6008	0.0827	4	936	2289	153	2015.3203
12	accumulation mode	0.9376	-0.3893	3	154	217	12	2013.75
13	acetal	0.0948	0.6227	1	205	283	24	2015.8333
14	acetaldehyde	0.6232	-0.1335	3	525	1208	74	2014.3243
15	acetaldehyde emission	0.9887	-0.299	3	169	262	12	2016.3333
16	acetalization	-0.0016	0.7922	1	136	215	14	2018.2143
17	acetic acid	-0.2531	0.3923	1	685	1207	85	2016.1412
18	acetylene	0.7174	0.2123	3	220	306	20	2016.05
19	acid catalyst	-0.1712	0.7497	1	620	1402	95	2015.2737
20	acid concentration	-0.3114	0.3575	1	331	520	42	2015.2857
21	acid esterification	0.1267	0.6791	1	240	393	23	2014.5217
22	acid hydrolysis	-0.3882	0.2882	4	238	328	23	2015.6957
23	acid number	-0.0373	0.3807	1	408	682	50	2015.42
24	acid oil	-0.2577	0.6343	1	209	309	22	2015.7273
25	acid pretreatment	-0.5285	0.2124	4	289	389	27	2015.8889
26	acid site	-0.1029	0.8905	1	386	831	44	2017.1364
27	acid value	-0.0268	0.5098	1	1047	3410	241	2015.112
28	acidic	-0.2044	0.7138	1	384	551	34	2016.3235
29	acidic ionic liquid	-0.2211	0.7971	1	161	261	17	2015.5294
30	acidification	-0.5717	-0.6026	2	532	1260	71	2014.6338
31	acidification potential	-0.4854	-0.7933	2	208	340	16	2013.625
32	acidity	-0.0886	0.7187	1	1021	3373	219	2016.7808
33	acp	-0.8012	0.3586	4	191	330	20	2015.15
34	acre	-0.4952	-0.5623	2	235	298	18	2013.8889
35	activated carbon	-0.1435	0.6188	1	463	828	51	2016.4314
36	activated sludge	-0.7404	0.3542	4	145	194	16	2015.5625
37	activation	-0.0427	0.4975	1	516	866	55	2016.3818
38	activation energy	0.0808	0.6702	1	860	2459	155	2016.929
39	active catalyst	-0.1544	0.8191	1	219	319	18	2014.6111
40	active component	-0.0644	0.578	1	161	212	16	2016.1875
41	active phase	-0.0685	0.9058	1	259	435	20	2017.75
42	active site	-0.1377	0.86	1	547	1160	67	2017.3134
43	active species	0.0068	0.8424	1	127	176	13	2016.3846
44	actor	-0.4679	-0.8444	2	326	750	58	2015.3621
45	acyl acceptor	-0.2715	0.7291	1	172	295	20	2014.55
46	adaptability	-0.5347	-0.2328	2	272	350	29	2014.4828
47	adaptive neuro fuzzy inference system	0.2071	-0.0192	1	105	141	11	2019.4545
48	adoption	-0.1021	-0.5871	2	739	1363	96	2014.6875
49	adsorbent	-0.1333	0.5349	1	222	301	30	2016.4667
50	adsorption	-0.0523	0.6175	1	715	1471	106	2016.0094
51	adulteration	0.3505	0.0655	1	85	134	15	2014
52	advanced biofuel production	-0.5476	-0.3242	2	220	262	15	2014.1333
53	advanced fuel	-0.4011	-0.3951	2	145	160	11	2016.7273
54	adverse health effect	0.4407	-0.4358	3	174	283	21	2013.0952
55	aeration	-0.9349	0.1895	4	154	220	14	2016.2143
56	aerobic condition	-0.748	0.2882	4	108	149	10	2014.4
57	aerodynamic diameter	0.4622	-0.4913	3	174	267	19	2011.8421
58	aerosol	0.164	-0.4115	2	327	747	62	2013.0161
59	africa	-0.2919	-0.6188	2	434	775	53	2013.1698
60	aftertreatment	0.6332	-0.47	3	243	394	21	2014.1905
61	aftertreatment system	0.7374	-0.4266	3	254	405	23	2016.1739
62	agglomeration	-0.0192	0.6231	1	192	256	16	2016.9375
